Catelog Name,First Product Line,Second Product Line,Part Num,Internal Model,External Model,Min Price,Area Price,Standard Price,Release Status
Controllers,Intelligent Building,Access Control,1.0.01.25.12399,ASC4204C-D,ASC4204C-D,130.0,150.0,170.0,UnReleased
Controllers,Intelligent Building,Access Control,1.0.01.25.12408,DHI-ASC4202C-D,DHI-ASC4202C-D,95.0,120.0,140.0,UnReleased
Controllers,Intelligent Building,Access Control,1.0.01.25.12408-9002,DHI-ASC4202C-D,DHI-ASC4202C-D,95.0,120.0,140.0,Released
Standalone,Intelligent Building,Access Control,1.0.01.25.12417,DHI-ASI1212M,DHI-ASI1212M,47.0,55.0,70.0,UnReleased
Standalone,Intelligent Building,Access Control,1.0.01.25.12417-0003,DHI-ASI1212M,DHI-ASI1212M,47.0,55.0,70.0,UnReleased
Standalone,Intelligent Building,Access Control,1.0.01.25.12417-9001,DHI-ASI1212M,DHI-ASI1212M,47.0,55.0,70.0,Released
Standalone,Intelligent Building,Access Control,1.0.01.25.12418,DHI-ASI1201M-ME,DHI-ASI1201M-ME,35.0,40.0,55.0,UnReleased
Standalone,Intelligent Building,Access Control,1.0.01.25.12418-0002,DHI-ASI1201M-ME,DHI-ASI1201M-ME,35.0,40.0,55.0,UnReleased
Standalone,Intelligent Building,Access Control,1.0.01.25.12419,DHI-ASI1212M-W,DHI-ASI1212M-W,50.0,60.0,75.0,UnReleased
Standalone,Intelligent Building,Access Control,1.0.01.25.12419-0001,DHI-ASI1212M-W,DHI-ASI1212M-W,50.0,60.0,75.0,Released
Standalone,Intelligent Building,Access Control,1.0.01.25.12420,DHI-ASI1201M-MEW,DHI-ASI1201M-MEW,38.0,45.0,60.0,UnReleased
Standalone,Intelligent Building,Access Control,1.0.01.25.12420-0002,DHI-ASI1201M-MEW,DHI-ASI1201M-MEW,38.0,45.0,60.0,Released
Standalone,Intelligent Building,Access Control,1.0.01.25.12421,DHI-ASI1212M-P,DHI-ASI1212M-P,50.0,60.0,75.0,UnReleased
Standalone,Intelligent Building,Access Control,1.0.01.25.12421-0001,DHI-ASI1212M-P,DHI-ASI1212M-P,50.0,60.0,75.0,Released
Standalone,Intelligent Building,Access Control,1.0.01.25.12422-0001,DHI-ASI1201M-MEP,DHI-ASI1201M-MEP,38.0,45.0,60.0,UnReleased
Standalone,Intelligent Building,Access Control,1.0.01.25.12422-9001,DHI-ASI1201M-MEP,DHI-ASI1201M-MEP,38.0,45.0,60.0,Released
Standalone,Intelligent Building,Access Control,1.0.01.25.12423,DHI-ASI1212M-DW,DHI-ASI1212M-DW,50.0,60.0,75.0,UnReleased
Standalone,Intelligent Building,Access Control,1.0.01.25.12423-0001,DHI-ASI1212M-DW,DHI-ASI1212M-DW,50.0,60.0,75.0,UnReleased
Standalone,Intelligent Building,Access Control,1.0.01.25.12424,ASI1201M-MEP,ASI1201M-MEP,38.0,45.0,60.0,UnReleased
ITESA,Intelligent Building,Access Control,1.0.01.25.12424-0006,ASI1201M-MEP,WCARDCODE,38.0,45.0,60.0,Released
Swing Turnstile,Intelligent Building,Pedestrian Turnstile,1.0.01.25.12442,DHI-ASGB913S-L,DHI-ASGB913S-L,3300.0,4250.0,5500.0,UnReleased
Swing Turnstile,Intelligent Building,Pedestrian Turnstile,1.0.01.25.12442-9002,DHI-ASGB913S-L,DHI-ASGB913S-L,3300.0,4250.0,5500.0,Released
Swing Turnstile,Intelligent Building,Pedestrian Turnstile,1.0.01.25.12443,DHI-ASGB913S-R,DHI-ASGB913S-R,3300.0,4250.0,5500.0,UnReleased
Swing Turnstile,Intelligent Building,Pedestrian Turnstile,1.0.01.25.12443-9002,DHI-ASGB913S-R,DHI-ASGB913S-R,3300.0,4250.0,5500.0,Released
Swing Turnstile,Intelligent Building,Pedestrian Turnstile,1.0.01.25.12444,DHI-ASGB924S-D,DHI-ASGB924S-D,4500.0,5300.0,6750.0,UnReleased
Swing Turnstile,Intelligent Building,Pedestrian Turnstile,1.0.01.25.12444-9004,DHI-ASGB924S-D,DHI-ASGB924S-D,4500.0,5300.0,6750.0,Released
AI,Intelligent Building,Access Control,1.0.01.25.12450,DHI-ASI6213S-PW-V1,DHI-ASI6213S-PW-V1,96.0,120.0,145.0,UnReleased
AI,Intelligent Building,Access Control,1.0.01.25.12450-9004,DHI-ASI6213S-PW-V1,DHI-ASI6213S-PW-V1,96.0,120.0,145.0,Released
AI,Intelligent Building,Access Control,1.0.01.25.12451,ASI6213S-PW-V1,ASI6213S-PW-V1,96.0,120.0,145.0,UnReleased
Turnstiles,Intelligent Building,Pedestrian Turnstile,1.0.01.25.12513,DHI-ASGF001R,DHI-ASGF001R,8.5,10.0,12.0,UnReleased
Turnstiles,Intelligent Building,Pedestrian Turnstile,1.0.01.25.12513-9001,DHI-ASGF001R,DHI-ASGF001R,8.5,10.0,12.0,UnReleased
Turnstiles,Intelligent Building,Pedestrian Turnstile,1.0.01.25.12516,DHI-ASGF002S,DHI-ASGF002S,8.5,10.0,12.0,UnReleased
Turnstiles,Intelligent Building,Pedestrian Turnstile,1.0.01.25.12516-9001,DHI-ASGF002S,DHI-ASGF002S,8.5,10.0,12.0,UnReleased
Swing Turnstile,Intelligent Building,Pedestrian Turnstile,1.0.01.25.12545,DHI-ASGB613S-L,DHI-ASGB613S-L,2000.0,2500.0,3500.0,UnReleased
Swing Turnstile,Intelligent Building,Pedestrian Turnstile,1.0.01.25.12545-9001,DHI-ASGB613S-L,DHI-ASGB613S-L,2000.0,2500.0,3500.0,UnReleased
Swing Turnstile,Intelligent Building,Pedestrian Turnstile,1.0.01.25.12546,DHI-ASGB613S-R,DHI-ASGB613S-R,2000.0,2500.0,3500.0,UnReleased
Swing Turnstile,Intelligent Building,Pedestrian Turnstile,1.0.01.25.12546-9001,DHI-ASGB613S-R,DHI-ASGB613S-R,2000.0,2500.0,3500.0,UnReleased
Swing Turnstile,Intelligent Building,Pedestrian Turnstile,1.0.01.25.12547,DHI-ASGB624S-D,DHI-ASGB624S-D,3000.0,3500.0,4500.0,UnReleased
